section_id,country_code,country_name,election_region_code,election_region_name,municipality_code,municipality_name,city_region_code,city_region_name,section_code,town_code,town_name,place,voters_count,is_machine,is_mobile,is_ship,is_covid
010300056,00,България,01,Благоевград,03,Благоевград,,,056,4279,гр. Благоевград,"ІV основно училище""Димчо Дебелянов"", ул. ""Осогово"" №9",598,1,0,0,0
010300057,00,България,01,Благоевград,03,Благоевград,,,057,4279,гр. Благоевград,"ІV основно училище""Димчо Дебелянов"", ул. ""Осогово"" №9",647,1,0,0,0
010300058,00,България,01,Благоевград,03,Благоевград,,,058,4279,гр. Благоевград,"ІV основно училище""Димчо Дебелянов"", ул. ""Осогово"" №9",604,1,0,0,0
010300059,00,България,01,Благоевград,03,Благоевград,,,059,4279,гр. Благоевград,"Детска градина №3 ""Усмивка"", ул. ""Освобождение"" №009",638,1,0,0,0
010300060,00,България,01,Благоевград,03,Благоевград,,,060,4279,гр. Благоевград,"Детска градина №3 ""Усмивка"", ул. ""Освобождение"" №009",564,1,0,0,0
010300061,00,България,01,Благоевград,03,Благоевград,,,061,4279,гр. Благоевград,"Детска градина №3 ""Усмивка"", ул. ""Освобождение"" №009",502,1,0,0,0
010300062,00,България,01,Благоевград,03,Благоевград,,,062,4279,гр. Благоевград,"Детска градина №4 ""Първи Юни"", ул. ""Яне Сандански"" №005",471,1,0,0,0
010300063,00,България,01,Благоевград,03,Благоевград,,,063,4279,гр. Благоевград,"Детска градина №4 ""Първи Юни"", ул. ""Яне Сандански"" №005",485,1,0,0,0
010300064,00,България,01,Благоевград,03,Благоевград,,,064,4279,гр. Благоевград,"Детска градина №4 ""Първи Юни"", ул. ""Яне Сандански"" №005",633,1,0,0,0
010300065,00,България,01,Благоевград,03,Благоевград,,,065,4279,гр. Благоевград,"VI СУ ""Иван Вазов"", ул. ""Яне Сандански"" №001",487,1,0,0,0
010300066,00,България,01,Благоевград,03,Благоевград,,,066,4279,гр. Благоевград,"VI СУ ""Иван Вазов"", ул. ""Яне Сандански"" №001",533,1,0,0,0
